Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
CLASQUIN;FR0004152882;ALCLA;"Euronext Growth Paris";EUR;125.50;126.50;125.00;125.50;"14/02/2024 17:28";CET;588;73810.50;125.50;14/02/2024
"CMG CLEANTECH";FR0013406881;MLCMG;"Euronext Access Paris";EUR;2.16;2.16;2.16;2.16;"06/12/2023 11:30";CET;310;669.60;2.16;14/02/2024
CNOVA;NL0010949392;CNV;"Euronext Paris";EUR;1.56;1.56;1.56;1.56;"14/02/2024 09:00";CET;13;20.28;1.56;14/02/2024
COFACE;FR0010667147;COFA;"Euronext Paris";EUR;12.55;12.65;12.52;12.57;"14/02/2024 17:35";CET;80119;1007879.98;12.57;14/02/2024
COFIDUR;FR0013257409;ALCOF;"Euronext Growth Paris";EUR;344.00;344.00;344.00;344.00;"13/02/2024 16:13";CET;4;1376.00;344.00;14/02/2024
COGELEC;FR0013335742;ALLEC;"Euronext Growth Paris";EUR;8.05;8.15;8.05;8.15;"14/02/2024 16:32";CET;63031;513682.30;8.15;14/02/2024
COGRA;FR0011071570;ALCOG;"Euronext Growth Paris";EUR;9.26;9.26;9.08;9.08;"14/02/2024 14:03";CET;1599;14645.36;9.08;14/02/2024
COHERIS;FR0004031763;COH;"Euronext Paris";EUR;4.94;4.94;4.88;4.88;"14/02/2024 16:20";CET;1005;4904.70;4.88;14/02/2024
COIL;BE0160342011;ALCOI;"Euronext Growth Paris";EUR;4.59;4.59;4.18;4.32;"14/02/2024 17:36";CET;249;1054.22;4.32;14/02/2024
COLIPAYS;FR0010959684;MLCLP;"Euronext Access Paris";EUR;1.62;1.62;1.62;1.62;"13/02/2024 16:30";CET;50;81.00;1.62;14/02/2024
"COMPAGNIE ODET";FR0000062234;ODET;"Euronext Paris";EUR;1456.00;1458.00;1438.00;1440.00;"14/02/2024 17:35";CET;259;374024.00;1440.00;14/02/2024
"CONDOR TECHNOLOG";BE6252013725;MLMFI;"Euronext Access Paris";EUR;13.00;13.00;13.00;13.00;"05/02/2024 16:30";CET;800;10400.00;13.00;14/02/2024
"CONSORT NT";FR0000077828;MLCNT;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"27/02/2023 16:30";CET;24;1680.00;68.00;14/02/2024
